Herb_ChineseName	Botanical source	Botanical authority	Standardized botanical name source	Material category	Botanical/source note	P(痰热壅肺证)	label_痰热壅肺证	入选层级	高分候选	is_shared_other_syndrome	命中关键词	性味	归经	功能	主治	P(风热犯肺证)	P(痰湿阻肺证)	label_风热犯肺证	label_痰湿阻肺证	Retention rationale
制半夏	Pinellia ternata	(Thunb.) Breit.	Chinese Pharmacopoeia 2020 Edition (ChP 2020, Volume 1)	plant-derived medicine	Processed herbal piece derived from 半夏; Toxic medicinal material; Medicinal part: dried tuber; ChP 2020 Vol.1, Page 42	0.9954231381416321	1	A_原始标签核心药	1	0	化痰、燥湿化痰、痰、喘、咳	辛，温，有毒	归脾，胃，肺经	燥湿化痰，降逆止呕，消痞散结	用于痰多咳喘、痰饮眩悸、内痰眩晕、呕吐反胃、胸脘痞闷、梅核气症；生用外治痈肿痰核，姜半夏多用于降逆止呕	0.9727067947387695	0.9868636131286621	0	0	Original label-positive core herb
蒲公英	Taraxacum mongolicum	Hand.-Mazz.	Chinese Pharmacopoeia 2020 Edition (ChP 2020, Volume 1)	plant-derived medicine	Multi-basal species; Medicinal part: dried whole herb; ChP 2020 Vol.1, Page 370	0.9930506944656372	1	A_原始标签核心药	1	1	清热	苦、甘，寒	归肝、胃经	清热解毒，消肿散结，利尿通淋	用于疔疮肿毒，乳痈，瘰疬，目赤，咽痛，肺痈，肠痈，湿热黄疸，热淋涩痛	0.9751001596450806	0.2393553853034973	1	0	Original label-positive core herb
南沙参	Adenophora stricta; Adenophora tetraphylla	Miq.; (Thunb.) Fisch.	Chinese Pharmacopoeia 2020 Edition (Volume I)	plant-derived medicine	Medicinal part: dried root; Source: Zhongyao Da Baike, URL: https://www.zhongyibaike.com/wiki/%E5%8D%97%E6%B2%99%E5%8F%82	0.9874195456504822	1	A_原始标签核心药	1	1	化痰、清肺、痰、咳、肺热	甘，微寒	归肺、胃经	养阴清肺，益胃生津，化痰，益气	用于肺热燥咳，阴虚劳嗽，干咳痰黏，胃阴不足，食少呕吐，气阴不足，烦热口干	0.6479224562644958	0.7399309873580933	1	0	Original label-positive core herb
虎杖	Polygonum cuspidatum	Sieb. et Zucc	Zhongyao Da Baike	plant-derived medicine	Medicinal part: dried rhizome and root; collected in spring/autumn	0.9822401404380798	1	A_原始标签核心药	1	1	清热、化痰、止咳、痰、咳、肺热	微苦，微寒	归肝、胆、肺经	利湿退黄，清热解毒，散瘀止痛，止咳化痰	用于湿热黄疸，淋浊，带下，风湿痹痛，痈肿疮毒，水火烫伤，经闭，癥瘕，跌打损伤，肺热咳嗽	0.9803040623664856	0.1412957310676575	1	0	Original label-positive core herb
炙甘草	Glycyrrhiza uralensis	Fisch	Chinese Pharmacopoeia 2020 Edition (ChP 2020, Volume 1)	plant-derived medicine	Processed herbal piece derived from 甘草; Multi-basal species; Medicinal part: dried root and rhizome; ChP 2020 Vol.1, Page 100	0.9818681478500366	1	A_原始标签核心药	1	1	润肺、咳	甘，平	入脾经、胃经、肺经	和中缓急，润肺，解毒，调和诸药	炙用，治脾胃虚弱，食少，腹痛便溏，劳倦发热，肺痿咳嗽，心悸，惊痫；生用，治咽喉肿痛，消化性溃疡，痈疽疮疡，解药毒及食物中毒	0.8521901369094849	0.9579758048057556	1	1	Original label-positive core herb
天花粉	Trichosanthes kirilowii; Trichosanthes rosthornii	Maxim.; Harms	Chinese Pharmacopoeia 2020 Edition (Volume I)	plant-derived medicine	Medicinal part: dried root; Source: Zhongyao Da Baike, URL: https://www.zhongyibaike.com/wiki/%E5%A4%A9%E8%8A%B1%E7%B2%89	0.9791238307952881	1	A_原始标签核心药	1	1	清热、咳、肺热	甘、微苦，微寒	归肺、胃经	清热泻火，生津止渴，消肿排脓	用于热病烦渴，肺热燥咳，内热消渴，疮疡肿毒	0.9546406865119934	0.2008080333471298	1	1	Original label-positive core herb
半夏	Pinellia ternata	(Thunb.) Breit.	Chinese Pharmacopoeia 2020 Edition (ChP 2020, Volume 1)	plant-derived medicine	Toxic medicinal material; Medicinal part: dried tuber; ChP 2020 Vol.1, Page 42	0.9784753322601318	1	A_原始标签核心药	1	1	化痰、燥湿化痰、痰、喘、咳	辛、温；有毒	归脾、胃、肺经	燥湿化痰，降逆止呕，消痞散结	用于湿痰寒痰，咳喘痰多，痰饮眩悸，风痰眩晕，痰厥头痛，呕吐反胃，胸脘痞闷，梅核气；外治痈肿痰核	0.8837177157402039	0.9449894428253174	1	1	Original label-positive core herb
莱菔子	Raphanus sativus	L.	Chinese Pharmacopoeia 2020 Edition (Volume I)	plant-derived medicine	Source: Zhongyao Da Baike (URL: https://www.zhongyibaike.com/wiki/%E8%8E%B1%E8%8F%94%E5%AD%90)	0.9774607419967651	1	A_原始标签核心药	1	1	化痰、降气、痰、喘、咳、痰壅	辛、甘，平	归肺、脾、胃经	消食除胀，降气化痰	用于饮食停滞，脘腹胀痛，大便秘结，积滞泻痢，痰壅喘咳	0.875769317150116	0.9489796161651611	1	1	Original label-positive core herb
白芷	Angelica dahurica		Chinese Pharmacopoeia 2020 Edition (ChP 2020, Volume 1)	plant-derived medicine	Multi-basal species; Medicinal part: dried root; ChP 2020 Vol.1, Page 24	0.9739762544631958	1	A_原始标签核心药	1	1	NA; original label-positive core herb	辛，温	归胃、大肠、肺经	解表散寒，祛风止痛，宣通鼻窍，燥湿止带，消肿排脓	用于感冒头痛，眉棱骨痛，鼻塞流涕，鼻鼽，鼻渊，牙痛，带下，疮疡肿痛	0.8344229459762573	0.06262204051017761	1	0	Original label-positive core herb
厚朴	Magnolia officinalis	Rehd. et Wils	Zhongyao Da Baike	plant-derived medicine	Medicinal part: dried bark; collected in April-June	0.9733216762542725	1	A_原始标签核心药	1	1	下气、痰、喘、咳	苦、辛，温	归脾、胃、肺、大肠经	燥湿消痰，下气除满	用于湿滞伤中，脘痞吐泻，食积气滞，腹胀便秘，痰饮喘咳	0.8618956804275513	0.9512785077095032	1	1	Original label-positive core herb
